ATM AT22V10L30DM88    AT22V10L30DM883     
CYP PLDC20RA1035WMB   C20RA10-35WMB  
SEE DE36C16-45           DE36C191-45         
SEE DE36C16-55           DE36C191-55         
SEE DE36C16-70           DE36C191-70         
SEE DM36C16-45           DM36C191-45         
SEE DM36C16-55           DM36C191-55         
SEE DM36C16-70           DM36C191-70         
SEE DQ36C16-45           DQ36C191-45         
SEE DQ36C16-55           DQ36C191-55         
SEE PQ36C16-45           PQ36C191-45         
SEE PQ36C16-55           PQ36C191-55         
TI  EP630DC-20           DELETED
TI  EP630PC-20           EP630-20CNT         
TI  EP630LC-20           EP630-20CFN         
TI  EP630LC-15           EP630-15CFN         
TI  EP630PC-15           EP630-15CNT         
AMD PALCE16V8H-15JC      CE16V8H-15JC        
AMD PALCE16V8H-15PC      CE16V8H-15PC        
AMD PALCE16V8H-25JC      CE16V8H-25JC        
AMD PALCE16V8H-25PC      CE16V8H-25PC        
AMD PALCE16V8H20BRA      CE16V8H-20/BRA      
AMD PALCE16V8H25BRA      CE16V8H-25/BRA      
AMD PALCE16V8Q-15JC      CE16V8Q-15JC        
AMD PALCE16V8Q-15PC      CE16V8Q-15PC        
AMD PALCE16V8Q-25JC      CE16V8Q-25JC        
AMD PALCE16V8Q-25PC      CE16V8Q-25PC        
AMD PALCE20V8H-15JC      CE20V8H-15JC        
AMD PALCE20V8H-15PC      CE20V8H-15PC        
AMD PALCE20V8H-25JC      CE20V8H-25JC        
AMD PALCE20V8H-25PC      CE20V8H-25PC        
AMD PALCE20V8Q-15JC      CE20V8Q-15JC        
AMD PALCE20V8Q-15PC      CE20V8Q-15PC        
AMD PALCE20V8Q-25JC      CE20V8Q-25JC        
AMD PALCE20V8Q-25PC      CE20V8Q-25PC        
AMD PALCE22V10H25JC      CE22V10H-25JC/4       
AMD PALCE22V10H25PC      CE22V10H-25PC/4       
AMD PALCE22V10Q25JC      CE22V10Q-25JC/4
AMD PALCE22V10Q25PC      CE22V10Q-25PC/4     
AMD PALCE24V10H15JC      CE24V10H-15JC       
AMD PALCE24V10H15PC      CE24V10H-15PC       
AMD PALCE24V10H25JC      CE24V10H-25JC       
AMD PALCE24V10H25PC      CE24V10H-25PC       
AMD PALCE26V12H20JC      CE26V12H-20JC       
AMD PALCE26V12H20PC      CE26V12H-20PC       
AMD PALCE26V12H25JC      CE26V12H-25JC       
AMD PALCE26V12H25PC      CE26V12H-25PC       
AMD PALCE29M16H25DC      CE29M16H-25DC       
AMD PALCE29M16H35DC      CE29M16H-35DC       
AMD PALCE29MA16H25D      CE29MA16H-25D       
AMD PALCE29MA16H35D      CE29MA16H-35D       
TI  TIB82S105BCFN        82S105BCFN          
TI  TIB82S105BCN         82S105BCN           
TI  TIB82S167BCNT        82S167BCNT          
TI  TIBP16L8-12CFN       16L8-12CFN          
TI  TIBP16L8-15CFN       16L8-15CFN          
TI  TIBP16L8-25CFN       16L8-25CFN          
TI  TIBP16R4-12CFN       16R4-12CFN          
TI  TIBP16R4-15CFN       16R4-15CFN          
TI  TIBP16R4-15MJ        16R4-15MJ           
TI  TIBP16R4-25CFN       16R4-25CFN          
TI  TIBP16R6-10CFN       16R6-10CFN          
TI  TIBP16R6-12CFN       16R6-12CFN          
TI  TIBP16R6-15CFN       16R6-15CFN          
TI  TIBP16R6-25CFN       16R6-25CFN          
TI  TIBP16R8-12CFN       16R8-12CFN          
TI  TIBP16R8-15CFN       16R8-15CFN          
TI  TIBP16R8-25CFN       16R8-25CFN          
TI  TIBP20L8-15CFN       20L8-15CFN          
TI  TIBP20L8-15CNL       20L8-15CNL          
TI  TIBP20L8-15CNT       20L8-15CNT          
TI  TIBP20L8-20MFKB      20L8-20MFKB         
TI  TIBP20L8-20MJT       20L8-20MJT          
TI  TIBP20L8-25CFN       20L8-25CFN          
TI  TIBP20L8-25CNL       20L8-25CNL          
TI  TIBP20L8-25CNT       20L8-25CNT          
TI  TIBP20R4-15CFN       20R4-15CFN          
TI  TIBP20R4-15CNL       20R4-15CNL          
TI  TIBP20R4-15CNT       20R4-15CNT          
TI  TIBP20R4-20MFKB      20R4-20MFKB         
TI  TIBP20R4-20MJT       20R4-20MJT          
TI  TIBP20R4-25CFN       20R4-25CFN          
TI  TIBP20R4-25CNL       20R4-25CNL          
TI  TIBP20R4-25CNT       20R4-25CNT          
TI  TIBP20R6-15CFN       20R6-15CFN          
TI  TIBP20R6-15CNT       20R6-15CNT          
TI  TIBP20R6-25CFN       20R6-25CFN          
TI  TIBP20R6-25CNL       20R6-25CNL          
TI  TIBP20R6-25CNT       20R6-25CNT          
TI  TIBP20R8-15CFN       20R8-15CFN          
TI  TIBP20R8-15CNL       20R8-15CNL          
TI  TIBP20R8-15CNT       20R8-15CNT          
TI  TIBP20R8-20MFKB      20R8-20MFKB         
TI  TIBP20R8-20MJT       20R8-20MJT          
TI  TIBP20R8-25CFN       20R8-25CFN          
TI  TIBP20R8-25CNT       20R8-25CNT          
TI  TIBP22V1015BCFN      22V10-15BCFN        
TI  TIBP22V1015BCNT      22V10-15BCNT        
TI  TIBP22V10ACFN        22V10ACFN           
TI  TIBP22V10ACNT        22V10ACNT           
TI  TIBP22V10CFN         22V10CFN            
TI  TIBP22V10CNT         22V10CNT            
TI  TIBP22VP1020CFN      22VP10-20CFN        
TI  TIBP22VP1020CNT      22VP10-20CNT        
TI  TIBP22VP1025MFK      22VP10-25MFKB       
TI  TIBP22VP1025MJT      22VP10-25MJTB       
TI  TIBPAD16N8-7CFN      PAD16N8-7CFN        
TI  TIBPAD16N8-7CN       PAD16N8-7CN         
TI  TIBPAD18N8-6CFN      PAD18N8-6CFN        
TI  TIBPAD18N8-6CN       PAD18N8-6CN         
TI  TIBPAL16L8-10CF      16L8-10CFN          
TI  TIBPAL16L8-10CN      16L8-10CN           
TI  TIBPAL16L8-12CN      16L8-12CN           
TI  TIBPAL16L8-12MF      16L8-12MFKB         
TI  TIBPAL16L8-12MJ      16L8-12MJB          
TI  TIBPAL16L8-15CN      16L8-15CN           
TI  TIBPAL16L8-15MF      16L8-15MFKB         
TI  TIBPAL16L8-15MJ      16L8-15MJ           
TI  TIBPAL16L8-20MF      16L8-20MFKB         
TI  TIBPAL16L8-20MJ      16L8-20MJ           
TI  TIBPAL16L8-25CN      16L8-25CN           
TI  TIBPAL16L8-30MF      16L8-30MFKB         
TI  TIBPAL16L8-30MJ      16L8-30MJ           
TI  TIBPAL16L8-5CFN      16L8-5CFN           
TI  TIBPAL16L8-5CN       16L8-5CN            
TI  TIBPAL16L8-7CFN      16L8-7CFN           
TI  TIBPAL16L8-7CN       16L8-7CN            
TI  TIBPAL16R4-10CF      16R4-10CFN          
TI  TIBPAL16R4-10CN      16R4-10CN           
TI  TIBPAL16R4-12CN      16R4-12CN           
TI  TIBPAL16R4-12MF      16R4-12MFKB         
TI  TIBPAL16R4-12MJ      16R4-12MJB          
TI  TIBPAL16R4-15CN      16R4-15CN           
TI  TIBPAL16R4-15MF      16R4-15MFKB         
TI  TIBPAL16R4-15MJ      16R4-15MJ           
TI  TIBPAL16R4-20MF      16R4-20MFKB         
TI  TIBPAL16R4-20MJ      16R4-20MJ           
TI  TIBPAL16R4-25CN      16R4-25CN           
TI  TIBPAL16R4-30MF      16R4-30MFKB         
TI  TIBPAL16R4-30MJ      16R4-30MJ           
TI  TIBPAL16R4-5CFN      16R4-5CFN           
TI  TIBPAL16R4-5CN       16R4-5CN            
TI  TIBPAL16R4-7CFN      16R4-7CFN           
TI  TIBPAL16R4-7CN       16R4-7CN            
TI  TIBPAL16R6-10CN      16R6-10CN           
TI  TIBPAL16R6-12CN      16R6-12CN           
TI  TIBPAL16R6-12MF      16R6-12MFKB         
TI  TIBPAL16R6-12MJ      16R6-12MJB          
TI  TIBPAL16R6-15CN      16R6-15CN           
TI  TIBPAL16R6-15MF      16R6-15MFKB         
TI  TIBPAL16R6-15MJ      16R6-15MJ           
TI  TIBPAL16R6-20MF      16R6-20MFKB         
TI  TIBPAL16R6-20MJ      16R6-20MJ           
TI  TIBPAL16R6-25CN      16R6-25CN           
TI  TIBPAL16R6-30MF      16R6-30MFKB         
TI  TIBPAL16R6-30MJ      16R6-30MJ           
TI  TIBPAL16R6-5CFN      16R6-5CFN           
TI  TIBPAL16R6-5CN       16R6-5CN            
TI  TIBPAL16R6-7CFN      16R6-7CFN           
TI  TIBPAL16R6-7CN       16R6-7CN            
TI  TIBPAL16R8-10CF      16R8-10CFN          
TI  TIBPAL16R8-10CN      16R8-10CN           
TI  TIBPAL16R8-12CN      16R8-12CN           
TI  TIBPAL16R8-12MF      16R8-12MFKB         
TI  TIBPAL16R8-12MJ      16R8-12MJB          
TI  TIBPAL16R8-15CN      16R8-15CN           
TI  TIBPAL16R8-15MF      16R8-15MFKB         
TI  TIBPAL16R8-15MJ      16R8-15MJ           
TI  TIBPAL16R8-20MF      16R8-20MFKB
TI  TIBPAL16R8-20MJ      16R8-20MJB         
TI  TIBPAL16R8-25CN      16R8-25CN           
TI  TIBPAL16R8-30MF      16R8-30MFKB         
TI  TIBPAL16R8-30MJ      16R8-30MJB         
TI  TIBPAL16R8-5CFN      16R8-5CFN           
TI  TIBPAL16R8-5CN       16R8-5CN            
TI  TIBPAL16R8-7CFN      16R8-7CFN           
TI  TIBPAL16R8-7CN       16R8-7CN            
TI  TIBPAL20L8-10CF      20L8-10CFN          
TI  TIBPAL20L8-10CN      20L8-10CNT          
TI  TIBPAL20L8-5CFN      20L8-5CFN           
TI  TIBPAL20L8-5CN       20L8-5CNT           
TI  TIBPAL20L8-7CFN      20L8-7CFN           
TI  TIBPAL20L8-7CNT      20L8-7CNT           
TI  TIBPAL20R4-10CF      20R4-10CFN          
TI  TIBPAL20R4-10CN      20R4-10CNT          
TI  TIBPAL20R4-5CFN      20R4-5CFN           
TI  TIBPAL20R4-5CNT      20R4-5CNT           
TI  TIBPAL20R4-7CFN      20R4-7CFN           
TI  TIBPAL20R4-7CNT      20R4-7CNT           
TI  TIBPAL20R6-10CF      20R6-10CFN          
TI  TIBPAL20R6-10CN      20R6-10CNT          
TI  TIBPAL20R6-20MF      20R6-20MFKB         
TI  TIBPAL20R6-20MJ      20R6-20MJT          
TI  TIBPAL20R6-5CFN      20R6-5CFN           
TI  TIBPAL20R6-5CNT      20R6-5CNT           
TI  TIBPAL20R6-7CFN      20R6-7CFN           
TI  TIBPAL20R6-7CNT      20R6-7CNT           
TI  TIBPAL20R8-10CF      20R8-10CFN          
TI  TIBPAL20R8-10CN      20R8-10CNT          
TI  TIBPAL20R8-5CFN      20R8-5CFN           
TI  TIBPAL20R8-5CNT      20R8-5CNT           
TI  TIBPAL20R8-7CFN      20R8-7CFN           
TI  TIBPAL20R8-7CNT      20R8-7CNT           
TI  TICPAL16L8-55CJ      16L8-55CJL       
TI  TICPAL16R4-55CJ      16R4-55CJL       
TI  TICPAL16R6-55CJ      16R6-55CJL       
TI  TICPAL16R8-55CJ      16R8-55CJL       
TI  TIBPLS506CJT         DELETED
TI  TIBPSG507CJT         DELETED
AMD 5962-88670023A       DELETED             
AMD 5962-8867002LA       DELETED             
AMD 5962-88670033A       DELETED             
AMD 5962-8867003LA       DELETED             
AMD AM27LS185BVA         DELETED             
AMD AM27PS191BUA         DELETED             
AMD AM27S191ABUA         DELETED             
AMD AM27S191BUA          DELETED             
AMD AM27S191SABJA        DELETED             
AMD AM27S19SABEA         DELETED             
AMD AM27S25SABLA         DELETED             
AMD AM27S291SABLA        DELETED             
AMD AMPAL20L10-20DC      DELETED             
AMD AMPAL20L10BDC        DELETED             
AMD AMPAL22V10ADC        DELETED             
AMD AMPAL22V10DC         DELETED             
AMD AMPAL23S8-20DC       DELETED             
AMD AMPAL23S8-25DC       DELETED             
AMD C22V10H30MJS883      DELETED             
AMD C22V10H30ML883B      DELETED             
AMD C22V10H30MQS883      DELETED             
AMD C22V10H40MJS883      DELETED             
AMD C22V10H40ML883B      DELETED             
AMD C22V10H40MQS883      DELETED             
AMD PAL10020EG8-6DC      DELETED             
AMD PAL10020EV8-6DC      DELETED             
AMD PAL10H20EG8-6DC      DELETED             
AMD PAL10H20EG8CFN       DELETED             
AMD PAL10H20EG8CNS       DELETED             
AMD PAL10H20EV8-6DC      DELETED             
AMD PAL10H20EV8CFN       DELETED             
AMD PAL10H20EV8CNS       DELETED             
AMD PAL10H20P8JS         DELETED             
AMD PAL10H8-2CJ          DELETED             
AMD PAL10H8-2CN          DELETED             
AMD PAL10H8-2CNL         DELETED             
AMD PAL10H8-2MJ883B      DELETED             
AMD PAL10H8CJ            DELETED             
AMD PAL10H8CN            DELETED             
AMD PAL10H8CNL           DELETED             
AMD PAL10H8MJ883B        DELETED             
AMD PAL10H8ML883B        DELETED             
AMD PAL10L8-2CJ          DELETED             
AMD PAL10L8-2CN          DELETED             
AMD PAL10L8-2CNL         DELETED             
AMD PAL10L8-2MJ883B      DELETED             
AMD PAL10L8CJ            DELETED             
AMD PAL10L8CN            DELETED             
AMD PAL10L8CNL           DELETED             
AMD PAL10L8MJ883B        DELETED             
AMD PAL10L8ML883B        DELETED             
AMD PAL12H6-2CJ          DELETED             
AMD PAL12H6-2CN          DELETED             
AMD PAL12H6-2CNL         DELETED             
AMD PAL12H6-2MJ883B      DELETED             
AMD PAL12H6CJ            DELETED             
AMD PAL12H6CN            DELETED             
AMD PAL12H6CNL           DELETED             
AMD PAL12H6MJ883B        DELETED             
AMD PAL12H6ML883B        DELETED             
AMD PAL12L10CJS          DELETED             
AMD PAL12L10CNL          DELETED             
AMD PAL12L10CNS          DELETED             
AMD PAL12L10MJS883B      DELETED             
AMD PAL12L10ML883B       DELETED             
AMD PAL12L6-2CJ          DELETED             
AMD PAL12L6-2CN          DELETED             
AMD PAL12L6-2CNL         DELETED             
AMD PAL12L6-2MJ883B      DELETED             
AMD PAL12L6-2ML883B      DELETED             
AMD PAL12L6CJ            DELETED             
AMD PAL12L6CN            DELETED             
AMD PAL12L6CNL           DELETED             
AMD PAL12L6MJ883B        DELETED             
AMD PAL12L6ML883B        DELETED             
AMD PAL14H4-2CJ          DELETED             
AMD PAL14H4-2CN          DELETED             
AMD PAL14H4-2CNL         DELETED             
AMD PAL14H4-2MJ883B      DELETED             
AMD PAL14H4-2ML883B      DELETED             
AMD PAL14H4CJ            DELETED             
AMD PAL14H4CN            DELETED             
AMD PAL14H4CNL           DELETED             
AMD PAL14H4MJ883B        DELETED             
AMD PAL14H4ML883B        DELETED             
AMD PAL14L4-2CJ          DELETED             
AMD PAL14L4-2CN          DELETED             
AMD PAL14L4-2CNL         DELETED             
AMD PAL14L4-2MJ883B      DELETED             
AMD PAL14L4-2ML883B      DELETED             
AMD PAL14L4CJ            DELETED             
AMD PAL14L4CN            DELETED             
AMD PAL14L4CNL           DELETED             
AMD PAL14L4MJ883B        DELETED             
AMD PAL14L4ML883B        DELETED             
AMD PAL14L8CJS           DELETED             
AMD PAL14L8CNL           DELETED             
AMD PAL14L8CNS           DELETED             
AMD PAL14L8MJS883B       DELETED             
AMD PAL14L8ML883B        DELETED             
AMD PAL16H2-2CJ          DELETED             
AMD PAL16H2-2CN          DELETED             
AMD PAL16H2-2CNL         DELETED             
AMD PAL16H2-2MJ883B      DELETED             
AMD PAL16H2-2ML883B      DELETED             
AMD PAL16H2CJ            DELETED             
AMD PAL16H2CN            DELETED             
AMD PAL16H2CNL           DELETED             
AMD PAL16H2MJ883B        DELETED             
AMD PAL16H2ML883B        DELETED             
AMD PAL16L2-2CJ          DELETED             
AMD PAL16L2-2CN          DELETED             
AMD PAL16L2-2CNL         DELETED             
AMD PAL16L2-2MJ883B      DELETED             
AMD PAL16L2-2ML883B      DELETED             
AMD PAL16L2CJ            DELETED             
AMD PAL16L2CN            DELETED             
AMD PAL16L2CNL           DELETED             
AMD PAL16L2MJ883B        DELETED             
AMD PAL16L2ML883B        DELETED             
AMD PAL16L6CJS           DELETED             
AMD PAL16L6CNL           DELETED             
AMD PAL16L6CNS           DELETED             
AMD PAL16L6MJS883B       DELETED             
AMD PAL16L6ML883B        DELETED             
AMD PAL16L8-7DC          DELETED             
AMD PAL16L8A2CJ          DELETED             
AMD PAL16L8A2MJ883B      DELETED             
AMD PAL16L8A4CJ          DELETED             
AMD PAL16L8A4MJ883B      DELETED             
AMD PAL16L8ACJ           DELETED             
AMD PAL16L8B2CJ          DELETED             
AMD PAL16L8B4CJ          DELETED             
AMD PAL16L8BCJ           DELETED             
AMD PAL16L8CJ            DELETED             
AMD PAL16L8CN            DELETED             
AMD PAL16L8CNL           DELETED             
AMD PAL16L8DCJ           DELETED             
AMD PAL16L8H-15DC        DELETED             
AMD PAL16L8H-15JC        DELETED             
AMD PAL16L8H-15PC        DELETED             
AMD PAL16P8ACJ           DELETED             
AMD PAL16P8ACN           DELETED             
AMD PAL16P8ACNL          DELETED             
AMD PAL16R4-7DC          DELETED             
AMD PAL16R4A2CJ          DELETED             
AMD PAL16R4A4CJ          DELETED             
AMD PAL16R4A4CN          DELETED             
AMD PAL16R4A4CNL         DELETED             
AMD PAL16R4ACJ           DELETED             
AMD PAL16R4B2CJ          DELETED             
AMD PAL16R4B4CJ          DELETED             
AMD PAL16R4BCJ           DELETED             
AMD PAL16R4CJ            DELETED             
AMD PAL16R4DCJ           DELETED             
AMD PAL16R4H-15DC        DELETED             
AMD PAL16R4H-15JC        DELETED             
AMD PAL16R4H-15PC        DELETED             
AMD PAL16R6-7DC          DELETED             
AMD PAL16R6A2CJ          DELETED             
AMD PAL16R6A4CJ          DELETED             
AMD PAL16R6ACJ           DELETED             
AMD PAL16R6B2CJ          DELETED             
AMD PAL16R6B4CJ          DELETED             
AMD PAL16R6BCJ           DELETED             
AMD PAL16R6CJ            DELETED             
AMD PAL16R6DCJ           DELETED             
AMD PAL16R6H-15DC        DELETED             
AMD PAL16R6H-15JC        DELETED             
AMD PAL16R6H-15PC        DELETED             
AMD PAL16R8-7DC          DELETED             
AMD PAL16R8A2CJ          DELETED             
AMD PAL16R8A4CJ          DELETED             
AMD PAL16R8ACJ           DELETED             
AMD PAL16R8B2CJ          DELETED             
AMD PAL16R8B4CJ          DELETED             
AMD PAL16R8BCJ           DELETED             
AMD PAL16R8CJ            DELETED             
AMD PAL16R8DCJ           DELETED             
